;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
24;femenino;comercio;distribuidora de ;manrique central no. 2;2;3.0;16/02/2016;6890000;microempresarial
25;femenino;industria;fabrica de ;villa niza;2;2.0;31/05/2017;7370000;microempresarial
26;femenino;comercio;fabrica de muebles;robledo;2;7.0;27/02/2017;7300000;Microempresarial
27;femenino;industria;fabrica de ;la milagrosa;3;9.0;10/07/2017;7000000;microempresarial
28;masculino;comercio;productos de belleza;cabecera san antonio ;3;80.0;6/03/2019;5000000;microempresarial
29;femenino;Comercio;tienda;granizal;2;1.0;26/09/2017;7300000;microempresarial
30;femenino;servicio;servicios ;la ladera;3;8.0;7/05/2018;3000000;microempresarial
31;femenino;comercio;almacen de ropa en ;villa hermosa;3;8.0;7/03/2017;5000000;microempresarial
32;masculino;servicio;variedades;villa niza;2;2.0;2017/02/10;7000000;microempresarial
33;femenino;comercio;variedades;palmitas;1;50.0;20/11/2017;$ 7,377,000.00;microempresarial
34;femenino;comercio;tienda;santa cruz;2;2.0;2/08/2018;5000000;microempresarial
35;femenino;comercio;comidas rapidas;la pradera;2;13.0;15/11/2018;6000000;microempresarial
36;femenino;servicio;fabrica de ;san diego;2;10.0;20/01/2016;6000000;microempresarial
37;femenino;comercio;tienda;cabecera san cristobal;2;60.0;20/03/2019;8000000;Microempresarial
38;femenino;comercio;almacen de ropa en ;aranjuez;3;4.0;9/03/2017;7377000;microempresarial
39;masculino;comercio;variedades;villa guadalupe;2;1.0;24/10/2018;1500000;MICROEMPRESARIAL
40;femenino;comercio;variedades;castilla;3;5.0;12/03/2019;8200000;microempresarial
41;femenino;comercio;papeleria;villa flora;2;7.0;28/11/2016;$ 6,890,000.00;microempresarial
42;masculino;servicio;recreativo-educativo;belalcazar;3;5.0;24/05/2018;7800000;microempresarial
43;masculino;servicio;comidas rapidas;robledo;2;7.0;2016/04/21;3500000;microempresarial
44;femenino;comercio;tienda;robledo;2;7.0;2018/01/26;7800000;microempresarial
45;femenino;industria;deposito de ;llanaditas;1;8.0;6/02/2017;7377000;microempresarial
46;masculino;industria;fabrica de ;la pradera;3;13.0;2016/12/7;5000000;microempresarial
47;femenino;comercio;variedades;popular;2;1.0;5/06/2018;6000000;microempresarial
48;masculino;comercio;productos de belleza;castilla;3;5.0;14/11/2017;6000000;microempresarial
49;masculino;servicio;barberia;belen;1;16.0;2019/03/7;7000000;microempresarial
50;femenino;comercio;tienda;robledo;02;7.0;6/02/2018;7000000;microempresarial
51;femenino;industria;fabrica de ;san javier no.1;1;13.0;4/05/2017;7000000;microempresarial
52;masculino;comercio;variedades;manrique central no. 2;2;3.0;6/01/2017;2000000;microempresarial
53;femenino;comercio;almacen de ropa en ;belen;3;16.0;25/07/2018;5000000;microempresarial
54;femenino;industria;fabrica de ;san javier no.1;2;13.0;7/11/2017;5000000;microempresarial
55;masculino;servicio;comidas rapidas;san javier no.1;2;13.0;8/11/2018;7800000;microempresarial
56;femenino;industria;distribuidora-de-;castilla;2;5.0;11/09/2018;7800000;microempresarial
57;masculino;comercio;tienda;cabecera san cristobal;2;60.0;8/02/2018;7800000;microempresarial
58;masculino;servicio;tienda;santo domingo savio ;1;1.0;22/03/2018;3000000;microempresarial
59;femenino;industria;fabrica de ;robledo;2;7.0;30/05/2019;7000000;microempresarial
60;masculino;comercio;legumbreria;cabecera san antonio ;2;80.0;21/05/2018;3000000;microempresarial
61;Femenino;comercio;almacen de ropa en ;calasanz;3;12.0;3/11/2016;4500000;microempresarial
62;masculino;industria;fabrica de ;moravia;1;4.0;4/05/2018;2500000;microempresarial
63;femenino;servicio;peluqueria;carpinelo;1;1.0;5/03/2018;5000000;microempresarial
64;femenino;agropecuaria;sembrados;santa elena central;2;90.0;2017/11/15;14000000;agropecuaria
65;femenino;comercio;bares;PEDREGAL;3;6.0;2017/04/25;6894000;microempresarial
66;masculino;Comercio;comidas rapidas;playon de los ;3;2.0;4/07/2018;7800000;microempresarial
67;femenino;industria;fabrica de ;robledo;1;7.0;1/04/2016;6890000;MICROEMPRESARIAL
68;femenino;industria;taller de mecanica;belencito;2;13.0;24/01/2017;7377000;microempresarial
69;masculino;agropecuaria;sembrados;santa elena central;02;90.0;26/07/2017;10000000;agropecuaria
70;femenino;industria;fabrica de ;villa hermosa;3;8.0;2017/03/27;3500000;microempresarial
71;masculino;industria;comidas rapidas;santo domingo savio ;1;1.0;12/06/2017;7377000;microempresarial
72;masculino;industria;fabrica-de-alimentos;santo domingo savio ;1;1.0;28/07/2017;7300000;microempresarial
73;masculino;comercio;tienda;robledo;2;7.0;27/07/2017;7370000;microempresarial
74;femenino;industria;fabrica de ;LA MILAGROSA;3;9.0;15/05/2019;7000000;microempresarial
75;femenino;comercio;almacen de ropa en ;trinidad;3;15.0;6/03/2018;5000000;microempresarial
76;masculino;servicio;mensajeria;castilla;3;5.0;23/01/2017;7370000;microempresarial
77;femenino;Comercio;tienda de helados;robledo;2;7.0;5/09/2018;5000000;microempresarial
78;masculino;comercio;almacen de ropa en ;centro admtivo;2;10.0;2018/05/18;800000;Microempresarial
79;femenino;comercio;fabrica-de-;robledo;2;7.0;25/10/2018;2000000;microempresarial
80;femenino;comercio;tienda;belen;3;16.0;21/03/2018;5000000;microempresarial
81;masculino;comercio;variedades;pedregal;3;6.0;6/02/2018;6400000;microempresarial
82;masculino;comercio;venta de calzado;santo domingo savio ;1;1.0;29/05/2018;7800000;microempresarial
83;femenino;comercio;restaurante;aranjuez;3;4.0;17/04/2017;6000000;microempresarial
84;femenino;servicio;restaurante;francisco antonio zea;3;5.0;31/05/2016;4000000;microempresarial
85;femenino;comercio;legumbreria;robledo;1;7.0;9/11/2017;4000000;microempresarial
86;femenino;comercio;peluqueria;guayabal;3;15.0;28/04/2017;3377000;microempresarial
87;masculino;servicio;fabrica de productos ;trinidad;3;15.0;16/06/2017;30000000;empresarial ed. 
88;femenino;industria;fabrica de ;manrique central no. 2;3;3.0;28/03/2016;$ 6,890,000.00;microempresarial
89;femenino;comercio;almacen de ropa en ;juan xxiii la quiebra;2;13.0;30/04/2019;8281000;microempresarial
90;MASCULINO;Comercio;tienda de helados;san javier no.1;2;13.0;19/07/2016;27000000;empresarial ed. 
91;femenino;comercio;comidas rapidas;villa niza;2;2.0;11/04/2018;2000000;microempresarial
92;femenino;;comidas rapidas;buenos aires;2;9.0;9/04/2018;2000000;microempresarial
93;masculino;industria;fabrica de ;robledo;2;7.0;2018/10/11;7812420;microempresarial
94;femenino;servicio;fotografia;villa niza;2;2.0;19/01/2017;6000000;microempresarial
95;masculino;COMERCIO;tienda;manrique central no. 1;2;4.0;11/05/2018;4000000;microempresarial
96;femenino;comercio;variedades;cabecera san cristobal;3;60.0;16/04/2018;2000000;microempresarial
97;femenino;servicio;fabrica-de-helados;el rodeo;3;15.0;9/02/2017;7000000;microempresarial
98;masculino;comercio;variedades;enciso;2;8.0;25/01/2018;780000;microempresarial
99;femenino;comercio;cafeteria;santo domingo savio ;02;1.0;2017/09/5;7300000;microempresarial
100;femenino;industria;comidas rapidas;moravia;2;4.0;24/02/2017;7377000;microempresarial
101;femenino;comercio;variedades;doce de octubre no.1;2;6.0;26/11/2018;7800000;microempresarial
102;masculino;servicio;legumbreria;pedregal;3;6.0;2017/10/23;7300000;microempresarial
103;femenino;servicio;comidas rapidas;santo domingo savio ;2;1.0;12/05/2017;6000000;microempresarial
104;femenino;comercio;comidas rapidas;manrique central no. 1;3;4.0;3/04/2018;7000000;microempresarial
105;masculino;servicio;cafe e internet;villa niza;2;2.0;18/06/2019;8000000;microempresarial
106;femenino;industria;fabrica de ;manrique central no. 2;3;3.0;23/02/2017;4000000;microempresarial
107;masculino;comercio;papeleria;san javier no.1;2;13.0;2/05/2016;5000000;microempresarial
108;femenino;comercio;variedades;manrique central no. 2;1;3.0;11/04/2018;4000000;microempresarial
109;masculino;industria;fabrica de productos ;robledo;1;7.0;2016/10/26;4000000;microempresarial
110;femenino;comercio;cafeteria;belen;2;16.0;9/11/2017;7370000;microempresarial
111;femenino;comercio;VARIEDADES;playon de los ;1;2.0;9/07/2018;7800000;microempresarial
112;masculino;servicio;comidas rapidas;guayabal;2;15.0;17/11/2017;4000000;microempresarial
113;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;7/12/2018;6000000;Microempresarial
114;femenino;industria;fabrica de calzado;granizal;2;1.0;5/06/2018;7800000;microempresarial
115;femenino;servicio;peluqueria;enciso;2;8.0;1/08/2016;6850000;microempresarial
116;masculino;comercio;tienda;manrique central no. 1;1;4.0;13/07/2017;4400000;Microempresarial
117;femenino;industria;fabrica de ;belen;2;16.0;23/05/2018;3000000;microempresarial
118;femenino;comercio;fabrica de alimentos;campo valdes no. 1;3;4.0;1/02/2017;7000000;microempresarial
119;masculino;servicio;comidas rapidas;buenos aires;2;9.0;6/07/2017;3000000;microempresarial
120;femenino;Comercio;variedades;enciso;1;8.0;28/11/2017;7300000;microempresarial
121;femenino;comercio;fabrica de ;la floresta;3;12.0;9/02/2018;7800000;microempresarial
122;femenino;industria;fabrica de ;enciso;2;8.0;24/04/2017;3500000;microempresarial
123;Femenino;servicio;carniceria;santo domingo savio ;1;1.0;24/11/2016;6890000;microempresarial
124;masculino;comercio;tienda;belen;2;16.0;12/10/2017;7200000;microempresarial
125;femenino;comercio;variedades;aranjuez;3;4.0;2017/11/15;5000000;microempresarial
126;masculino;comercio;almacen de ropa en ;popular;2;1.0;22/01/2018;4000000;microempresarial
127;masculino;comercio;miscelanea;centro admtivo;3;10.0;2018/02/14;1000000;microempresarial
128;Femenino;industria;fabrica de productos ;las palmas;2;10.0;22/04/2016;6890000;microempresarial
129;femenino;comercio;tienda;santa cruz;2;2.0;2019/03/18;5000000;microempresarial
130;femenino;Servicio;peluqueria;buenos aires;3;9.0;7/06/2018;6000000;microempresarial
131;femenino;industria;fabrica de ;villa guadalupe;2;1.0;8/06/2018;2500000;microempresarial
132;Masculino;comercio;variedades;manrique central no. 1;3;4.0;4/05/2018;3500000;microempresarial
133;masculino;industria;fabrica de ;manrique central no. 1;1;4.0;6/06/2018;5500000;microempresarial
134;masculino;comercio;almacen de ropa en ;la colina;3;15.0;26/04/2017;7300000;microempresarial
135;masculino;comercio;variedades;belen;1;16.0;21/08/2018;4000000;microempresarial
136;masculino;servicio;comidas-rapidas;enciso;3;8.0;9/03/2018;1500000;microempresarial
137;femenino;industria;fabrica de ;playon de los ;1;2.0;30/06/2017;3500000;microempresarial
138;femenino;industria;fabrica de calzado;palermo;1;4.0;15/11/2017;$ 7,300,000.00;microempresarial
139;femenino;comercio;distribuidora de ;san pablo;2;1.0;7/10/2016;6890000;microempresarial
140;masculino;industria;RECICLAJE;robledo;2;7.0;29/09/2017;1000000;microempresarial
141;femenino;servicio;comidas rapidas;robledo;0;7.0;15/04/2016;6890000;microempresarial
142;femenino;servicio;tienda;santa cruz;2;2.0;2018/03/23;7000000;microempresarial
143;femenino;servicio;mantenimiento en ;pablo vi;2;2.0;2/11/2017;7300000;microempresarial
144;masculino;comercio;variedades;;02;16.0;2018/04/18;$ 7,800,000.00;microempresarial
145;Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;8/05/2019;8200000;microempresarial
146;femenino;Comercio;comidas rapidas;moravia;2;4.0;19/07/2018;800000;microempresarial
147;femenino;comercio;comidas rapidas;robledo;2;7.0;25/05/2018;6000000;microempresarial
148;femenino;industria;fabrica de ;popular;2;1.0;24/07/2018;4000000;microempresarial
149;masculino;servicio;cafe e internet;buenos aires;3;9.0;22/08/2018;2500000;microempresarial
150;femenino;servicio;peluqueria;enciso;2;6.0;6/05/2016;6890000;microempresarial
151;masculino;comercio;cafeteria;san javier no.1;2;13.0;3/11/2016;4000000;microempresarial
152;femenino;comercio;fabrica de alimentos;belen;3;16.0;20/04/2016;4000000;microempresarial
153;masculino;comercio;fabrica de ;llanaditas;1;;22/11/2018;7800000;microempresarial
154;masculino;servicio;panaderia;manrique central no. 1;2;4.0;4/09/2018;3000000;microempresarial
155;femenino;comercio;tienda;juan xxiii la quiebra;1;13.0;6/02/2016;3000000;microempresarial
156;femenino;comercio;variedades;popular;2;1.0;17/02/2017;7377000;microempresarial
157;femenino;Comercio;panaderia;robledo;3;7.0;16/02/2017;7000000;microempresarial
158;femenino;comercio;cafeteria;moravia;2;4.0;6/04/2018;7800000;microempresarial
159;femenino;servicio;fabrica de ;castilla;2;5.0;27/06/2016;6890000;microempresarial
160;masculino;comercio;tienda;olaya herrera;1;7.0;26/10/2016;6890000;microempresarial
161;masculino;industria;fabrica de alimentos;cabecera san antonio ;2;80.0;22/04/2016;6400000;microempresarial
162;masculino;comercio;tienda;bombona no. 2;02;9.0;18/06/2019;$ 80,000,000.00;microempresarial
163;femenino;industria;fabrica de ;popular;2;1.0;20/06/2018;6000000;microempresarial
164;masculino;servicio;tienda;barrio caicedo;3;9.0;12/05/2017;1500000;microempresarial
165;femenino;comercio;peluqueria;robledo;2;7.0;9/11/2017;2000000;microempresarial
166;femenino;comercio;tienda;robledo;1;7.0;20/12/2018;6500000;microempresarial
167;masculino;agropecuaria;sembrados;cabecera san cristobal;2;60.0;14/09/2018;7800000;microempresarial
168;masculino;comercio;variedades;manrique oriental;3;3.0;18/06/2018;7000000;microempresarial
169;masculino;servicio;recreativo-educativo;loreto;3;9.0;31/08/2017;6;microempresarial
170;femenino;Industria;fabrica de ;jardin botanico;1;4.0;31/05/2018;5000000;microempresarial
171;femenino;servicio;cafe e internet;robledo;2;7.0;11/11/2016;6800000;microempresarial
172;femenino;comercio;comidas rapidas;manrique oriental;2;3.0;20/06/2017;5000000;microempresarial
173;femenino;comercio;comidas rapidas;santa cruz;2;2.0;2018/03/22;1500000;microempresarial
174;masculino;servicio;barberia;robledo;2;7.0;30/06/2017;5000000;microempresarial
175;masculino;industria;fabrica de ;guayabal;2;15.0;2/03/2016;4000000;microempresarial
176;femenino;comercio;tienda;la libertad;2;8.0;24/11/2017;7370000;microempresarial
177;masculino;servicio;variedades;la pradera;3;13.0;6/03/2017;7000000;microempresarial
178;femenino;comercio;comidas rapidas;buenos aires;02;9.0;21/03/2017;5000000;microempresarial
179;femenino;Comercio;variedades;castilla;3;5.0;12/07/2018;7800000;microempresarial
180;femenino;industria;fabrica de ;popular;1;1.0;18/11/2016;2000000;microempresarial
181;femenino;comercio;variedades;santo domingo savio ;1;1.0;12/06/2017;4000000;microempresarial
182;femenino;comercio;variedades;cabecera san cristobal;2;60.0;2016/04/18;6500000;microempresarial
183;femenino;agropecuaria;criadero de animales ;la floresta;2;12.0;14/06/2016;6890000;microempresarial
184;femenino;comercio;miscelanea;la sierra;2;8.0;26/07/2018;7800000;microempresarial
185;femenino;AGROPECUARIA;sembrados;cabecera san cristobal;2;60.0;27/05/2016;12000000;fomento agropecuario
186;femenino;industria;fabrica de ;aranjuez;3;4.0;31/05/2018;7800000;microempresarial
187;masculino;comercio;variedades;santa cruz;1;16.0;18/05/2017;6000000;microempresarial
188;femenino;comercio;variedades;manrique central no. 1;2;4.0;13/09/2017;2000000;microempresarial
189;femenino;industria;fabrica de ;girardot;3;5.0;29/08/2016;6810000;microempresarial
190;masculino;industria;variedades;manrique central no. 1;2;4.0;15/03/2018;4000000;microempresarial
191;femenino;Industria;fabrica de ;villatina;2;8.0;20/06/2017;3000000;microempresarial
192;femenino;servicio;organización y ;SAN JAVIER NO.1;1;13.0;18/04/2018;$ 7,000,000.00;microempresarial
193;femenino;comercio;comidas rapidas;buenos aires;2;9.0;15/06/2018;7000000;microempresarial
194;masculino;industria;fabrica de ;manrique central no. 2;2;3.0;9/08/2017;5000000;microempresarial
195;femenino;comercio;fabrica de helados;santa lucia;3;12.0;29/06/2017;4000000;microempresarial
196;femenino;comercio;variedades;13 de noviembre;1;8.0;19/12/2017;7300000;microempresarial
197;femenino;industria;fabrica de ;aranjuez;2;4.0;3/10/2018;2000000;microempresarial
198;masculino;comercio;charcuteria;villa niza;2;2.0;20/03/2018;7800000;microempresarial
199;masculino;industria;fabrica de ;santa monica;1;12.0;15/06/2018;7800000;microempresarial
200;masculino;comercio;comidas rapidas;andalucia;2;2.0;8/09/2016;6890000;microempresarial
201;masculino;Industria;fabrica de ;20 de julio;1;13.0;24/10/2018;7800000;microempresarial
202;femenino;servicio;variedades;san javier no.1;2;13.0;24/05/2017;6500000;microempresarial
203;masculino;industria;distribuidora de ;robledo;3;7.0;2016/08/18;6890000;microempresarial
204;femenino;servicio;tienda de helados;cabecera san antonio ;3;80.0;2/11/2017;2500000;microempresarial
205;masculino;Comercio;deposito de ;cabecera san antonio ;3;80.0;18/10/2016;6000000;microempresarial
206;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;27/04/2018;3000000;microempresarial
207;masculino;comercio;mantenimiento en ;buenos aires;03;;18/01/2016;$ 6,443,000.00;Microempresarial
208;femenino;comercio;almacen de ropa en ;san_javier_no.1;2;13.0;8/05/2017;7300000;microempresarial
209;femenino;comercio;comidas rapidas;castilla;2;5.0;2016/05/23;6890000;microempresarial
210;femenino;comercio;tienda;santo domingo savio ;1;1.0;28/05/2018;7000000;microempresarial
211;Femenino;servicio;publicidad y ;granizal;2;1.0;22/06/2018;4000000;microempresarial
212;femenino;industria;fabrica de ;robledo;2;7.0;7/11/2017;7300000;microempresarial
213;femenino;industria;fabrica de ;cabecera san antonio ;2;80.0;13/06/2016;6000000;microempresarial
214;femenino;comercio;variedades;villatina;2;8.0;5/12/2017;7370000;microempresarial
215;femenino;comercio;tienda;aranjuez;1;4.0;16/05/2019;4000000;microempresarial
216;masculino;servicio;variedades;belen;3;16.0;2018/02/16;7800000;microempresarial
217;Masculino;comercio;variedades;buenos aires;3;9.0;3/07/2018;4600000;microempresarial
218;masculino;comercio;restaurante;santa cruz;2;2.0;14/03/2017;4000000;microempresarial
219;masculino;industria;TALLER DE MECANICA;buenos aires;2;9.0;3/10/2018;6000000;Microempresarial
220;masculino;servicio;lavadero de ;cabecera san cristobal;2;60.0;1/08/2018;3000000;microempresarial
221;MASCULINO;comercio;variedades;la francia;2;2.0;13/03/2018;2000000;microempresarial
222;masculino;comercio;comidas_rapidas;santa cruz;2;2.0;12/07/2018;5000000;microempresarial
223;masculino;comercio;variedades;cabecera san cristobal;2;60.0;24/10/2018;7800000;microempresarial
224;femenino;servicio;publicidad y ;la milagrosa;3;9.0;10/07/2018;3000000;microempresarial
225;femenino;comercio;comidas rapidas;vrda. san cristobal ;3;60.0;1/02/2016;1100000;microempresarial
226;femenino;comercio;variedades;francisco antonio zea;2;5.0;9/02/2018;781000;microempresarial
227;Masculino;comercio;carpinteria;cabecera san cristobal;2;60.0;1/08/2018;3000000;Microempresarial
228;femenino;comercio;tienda;carlos e. restrepo;1;11.0;30/05/2019;8000000;microempresarial
229;masculino;servicio;TALLER DE MECANICA;santo domingo savio ;1;1.0;14/03/2017;7370000;microempresarial
230;femenino;comercio;tienda;la francia;2;2.0;8/04/2019;6000000;microempresarial
231;masculino;agropecuaria;viveros_;santa elena central;1;90.0;1/08/2016;6890000;microempresarial
232;femenino;comercio;taller de mecanica;san pablo;01;1.0;20/03/2018;7800000;Microempresarial
233;femenino;comercio;variedades;la floresta;3;12.0;15/02/2018;7500000;microempresarial
234;femenino;industria;fabrica de ;san javier no.2;1;13.0;20/04/2016;4500000;microempresarial
235;MASCULINO;servicio;taller de mecanica;san diego;2;10.0;30/12/2016;5000000;microempresarial
236;masculino;comercio;legumbreria;san javier no.1;1;13.0;7/09/2017;7000000;microempresarial
237;femenino;comercio;tienda;ocho de marzo;1;9.0;7/02/2018;7800000;microempresarial
238;masculino;industria;fabrica de alimentos;san javier no.2;3;13.0;29/02/2016;6890000;microempresarial
239;masculino;comercio;variedades;santa cruz;2;2.0;27/04/2018;78000000;microempresarial
240;femenino;comercio;variedades;belen;3;16.0;4/09/2017;$ 7,300,000.00;microempresarial
241;femenino;comercio;tienda;cabecera san antonio ;2;80.0;14/06/2017;2000000;microempresarial
242;femenino;industria;fabrica de colchones;guayabal;3;15.0;2018/07/3;7800000;microempresarial
243;femenino;comercio;peluqueria;manrique oriental;1;3.0;29/10/2018;5000000;microempresarial
244;masculino;servicio;fabrica de ;barrio caicedo;2;9.0;27/07/2016;$ 2,000,000.00;microempresarial
245;femenino;comercio;variedades;castilla;3;5.0;23/03/2018;$ 7,800,000.00;microempresarial
246;masculino;comercio;taller de electronica;belen;3;16.0;26/07/2018;3000000;microempresarial
247;masculino;comercio;variedades;villa hermosa;2;8.0;11/01/2017;6000000;microempresarial
248;femenino;SERVICIO;variedades;campo valdes no. 1;02;4.0;2016/12/6;6800000;microempresarial
249;Masculino;industria;Fabrica De ;robledo;1;7.0;1/02/2018;4000000;microempresarial
250;femenino;comercio;peluqueria;villatina;1;8.0;4/07/2017;7000000;microempresarial
251;femenino;comercio;miscelanea;moravia;2;4.0;12/06/2018;1500000;microempresarial
252;masculino;comercio;papeleria;robledo;1;7.0;2018/01/19;7000000;microempresarial
253;femenino;comercio;cafe e internet;buenos aires;2;9.0;13/09/2017;7370000;Microempresarial
254;femenino;comercio;tienda;belen;2;16.0;27/07/2017;7000000;microempresarial
255;femenino;comercio;peluqueria;la floresta;2;12.0;20/06/2017;7000000;microempresarial
256;femenino;servicio;mensajeria;francisco antonio zea;3;5.0;11/10/2018;6000000;microempresarial
257;femenino;comercio;almacen de ropa en ;sevilla;03;4.0;27/04/2018;7500000;microempresarial
258;femenino;comercio;variedades;castilla;3;5.0;26/11/2018;7800000;microempresarial
259;femenino;comercio;papeleria;enciso;2;8.0;10/04/2019;6000000;microempresarial
260;femenino;comercio;tienda;manrique central ;2;;9/02/2016;6000000;microempresarial
261;masculino;servicio;distribuidora de ;barrio caicedo;1;9.0;22/11/2016;6000000;Microempresarial
262;femenino;comercio;recreativo-educativo;castilla;3;5.0;9/04/2018;7000000;MICROEMPRESARIAL
263;femenino;comercio;cafeteria;belen;2;16.0;7/05/2019;7600000;microempresarial
264;femenino;comercio;tienda;villatina;1;8.0;27/05/2019;7500000;microempresarial
265;femenino;comercio;almacen de ropa en ;pedregal;3;6.0;23/06/2017;4000000;microempresarial
266;femenino;servicio;drogueria;;3;9.0;13/09/2016;2500000;microempresarial
267;masculino;industria;panaderia;cabecera san antonio ;2;80.0;6/05/2016;4000000;microempresarial
268;masculino;industria;fabrica de ;san javier no.1;1;13.0;1/02/2016;6800000;microempresarial
269;femenino;comercio;restaurante;santa lucia;3;12.0;21/03/2017;7370000;microempresarial
270;femenino;comercio;tienda;villatina;1;8.0;25/06/2019;5000000;microempresarial
271;masculino;comercio;ferreteria;popular;02;1.0;23/11/2017;7300000;microempresarial
272;FEMENINO;;almacen de ropa en ;robledo;2;7.0;24/09/2018;$ 7,000,000.00;microempresarial
273;masculino;comercio;miscelanea;aranjuez;02;4.0;18/09/2018;5500000;microempresarial
274;masculino;comercio;comidas rapidas;robledo;2;7.0;17/05/2018;5000000;microempresarial
275;femenino;comercio;productos de belleza;aranjuez;3;4.0;19/07/2018;7800000;microempresarial
276;femenino;comercio;comidas rapidas;trinidad;3;15.0;14/12/2017;3000000;microempresarial
277;masculino;comercio;legumbreria;manrique oriental;2;3.0;16/07/2018;2000000;microempresarial
278;masculino;industria;fabrica de ;manrique_central_no._1;3;4.0;27/04/2018;5000000;microempresarial
279;femenino;comercio;taller de mecanica;robledo;3;7.0;23/08/2017;7370000;microempresarial
280;femenino;industria;fabrica de colchones;villa del socorro;2;2.0;29/08/2017;7370000;microempresarial
281;masculino;comercio;almacen de ropa en ;san javier no.2;1;13.0;2018/07/12;7000000;microempresarial
282;femenino;industria;fabrica de ;robledo;1;7.0;2017/09/6;7300000;microempresarial
283;femenino;industria;fabrica de calzado;castilla;3;5.0;12/07/2018;5000000;microempresarial
284;masculino;comercio;variedades;doce de octubre no.1;2;6.0;28/09/2017;4400000;microempresarial
285;masculino;servicio;RESTAURANTE;manrique central no. 1;2;4.0;11/08/2017;7000000;microempresarial
286;masculino;comercio;miscelanea;san javier no.1;2;13.0;9/03/2018;1000000;microempresarial
287;masculino;industria;carpinteria;cabecera san antonio ;2;80.0;13/07/2017;5000000;microempresarial
288;femenino;comercio;variedades;castilla;02;5.0;21/09/2017;1000000;microempresarial
289;femenino;comercio;Almacen De Ropa En ;san javier no.2;01;13.0;28/09/2017;1000000;microempresarial
290;masculino;comercio;distribuidora de ;santa elena central;2;90.0;17/06/2016;6890000;microempresarial
291;femenino;servicio;miscelanea;palenque;3;7.0;23/03/2018;7800000;Microempresarial
292;masculino;servicio;peluqueria;santa cruz;2;2.0;2017/11/2;7000000;microempresarial
293;femenino;comercio;tienda;ROSALES;3;16.0;8/05/2018;2200000;microempresarial
294;femenino;comercio;tienda;barrio caicedo;2;9.0;26/10/2018;2500000;microempresarial
295;masculino;comercio;ebanistaria;doce de octubre no.1;2;6.0;23/03/2018;4000000;microempresarial
296;femenino;industria;fabrica de ;altavista;3;16.0;20/01/2016;6000000;microempresarial
297;femenino;industria;fabrica de ;manrique central no. 1;3;4.0;20/09/2018;6000000;microempresarial
298;masculino;agropecuaria;sembrados;la milagrosa;2;9.0;6/09/2016;6890000;microempresarial
299;masculino;comercio;tienda;santo domingo savio ;2;1.0;27/03/2017;7000000;microempresarial
300;femenino;industria;reciclaje;andalucia;2;2.0;2/10/2017;22000000;juridica y cap.semilla
301;MASCULINO;comercio;variedades;barrio caicedo;2;9.0;6/10/2017;6000000;microempresarial
